Line,# Letter, Cz/theta, Cz/alpha, Cz/betaL, Cz/betaH, Cz/gamma, Fz/theta, Fz/alpha, Fz/betaL, Fz/betaH, Fz/gamma, Fp1/theta, Fp1/alpha, Fp1/betaL, Fp1/betaH, Fp1/gamma, F7/theta, F7/alpha, F7/betaL, F7/betaH, F7/gamma, F3/theta, F3/alpha, F3/betaL, F3/betaH, F3/gamma, FC1/theta, FC1/alpha, FC1/betaL, FC1/betaH, FC1/gamma, C3/theta, C3/alpha, C3/betaL, C3/betaH, C3/gamma, FC5/theta, FC5/alpha, FC5/betaL, FC5/betaH, FC5/gamma, FT9/theta, FT9/alpha, FT9/betaL, FT9/betaH, FT9/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, TP9/theta, TP9/alpha, TP9/betaL, TP9/betaH, TP9/gamma, CP5/theta, CP5/alpha, CP5/betaL, CP5/betaH, CP5/gamma, CP1/theta, CP1/alpha, CP1/betaL, CP1/betaH, CP1/gamma, P3/theta, P3/alpha, P3/betaL, P3/betaH, P3/gamma, P7/theta, P7/alpha, P7/betaL, P7/betaH, P7/gamma, O1/theta, O1/alpha, O1/betaL, O1/betaH, O1/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, Oz/theta, Oz/alpha, Oz/betaL, Oz/betaH, Oz/gamma, O2/theta, O2/alpha, O2/betaL, O2/betaH, O2/gamma, P8/theta, P8/alpha, P8/betaL, P8/betaH, P8/gamma, P4/theta, P4/alpha, P4/betaL, P4/betaH, P4/gamma, CP2/theta, CP2/alpha, CP2/betaL, CP2/betaH, CP2/gamma, CP6/theta, CP6/alpha, CP6/betaL, CP6/betaH, CP6/gamma, TP10/theta, TP10/alpha, TP10/betaL, TP10/betaH, TP10/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, FT10/theta, FT10/alpha, FT10/betaL, FT10/betaH, FT10/gamma, FC6/theta, FC6/alpha, FC6/betaL, FC6/betaH, FC6/gamma, C4/theta, C4/alpha, C4/betaL, C4/betaH, C4/gamma, FC2/theta, FC2/alpha, FC2/betaL, FC2/betaH, FC2/gamma, F4/theta, F4/alpha, F4/betaL, F4/betaH, F4/gamma, F8/theta, F8/alpha, F8/betaL, F8/betaH, F8/gamma, Fp2/theta, Fp2/alpha, Fp2/betaL, Fp2/betaH, Fp2/gamma
181,3,0.302,0.544,0.082,0.104,0.029,0.396,0.203,0.08,0.06,0.014,1.705,2.901,0.356,0.452,0.068,3.439,11.292,0.63,0.532,0.195,1.791,1.669,0.117,0.082,0.033,0.058,0.124,0.026,0.034,0.013,0.778,2.737,0.554,0.106,0.047,1.415,3.214,0.366,0.215,0.044,4.39,15.477,0.543,0.59,0.251,2.89,12.852,1.983,0.348,0.157,1.555,6.5,1.135,0.46,0.08999999999999998,2.86,9.142,1.961,0.434,0.09300000000000001,0.362,2.317,0.465,0.286,0.042,1.164,7.799,1.316,0.655,0.098,3.96,17.759,2.551,0.708,0.138,3.304,24.78,2.403,0.8449999999999999,0.142,2.247,8.128,1.532,10.344,0.856,2.292,15.975,1.39,1.335,0.133,2.847,25.036,1.218,1.107,0.18,2.623,58.743,2.74,0.88,0.224,1.009,43.263,2.471,0.574,0.209,1.373,7.740999999999999,0.709,5.647,1.27,1.646,28.484,2.426,0.714,0.167,2.771,17.109,1.399,0.781,0.193,2.808,13.25,1.321,1.209,0.21,1.776,4.688,0.701,0.646,0.139,1.181,2.036,0.7219999999999999,1.34,0.151,0.885,8.317,0.644,0.346,0.058,0.946,1.871,0.561,2.175,0.295,0.555,0.559,0.142,0.035,0.036,0.8419999999999999,2.594,0.34,0.374,0.103,0.54,1.596,0.317,0.35,0.08699999999999998
182,3,0.267,0.518,0.059,0.127,0.029,0.297,0.198,0.062,0.054,0.012,1.07,1.831,0.212,0.273,0.046,2.276,9.66,0.402,0.378,0.183,1.723,1.144,0.145,0.08599999999999998,0.029,0.08599999999999998,0.106,0.023,0.041,0.015,0.73,2.344,0.452,0.144,0.046,1.287,2.801,0.26,0.179,0.039,3.018,13.538,0.412,0.451,0.222,1.881,10.686,1.544,0.338,0.141,1.21,6.084,0.807,0.385,0.081,2.315,9.6,1.375,0.387,0.083,0.497,3.515,0.334,0.3,0.056,0.897,13.156,1.114,0.617,0.124,3.246,17.822,2.628,0.742,0.127,2.872,32.523,2.805,0.706,0.14,2.072,8.117,1.698,11.115,0.789,2.025,19.252,1.235,0.8129999999999998,0.168,2.53,25.115,1.342,0.596,0.199,1.877,52.797,3.332,0.869,0.241,1.09,32.894,2.582,0.707,0.189,1.259,5.68,0.751,5.482,1.111,1.544,20.581,2.829,0.743,0.151,1.947,13.735,1.737,0.613,0.16,2.287,9.792,0.805,0.698,0.166,1.225,4.976,0.667,0.427,0.153,0.8439999999999999,2.195,1.157,1.109,0.177,0.661,3.696,0.563,0.182,0.03,1.185,1.088,0.794,2.034,0.308,0.352,0.607,0.125,0.027,0.03,0.496,1.94,0.251,0.243,0.077,0.625,1.528,0.229,0.185,0.07
183,3,0.279,0.451,0.054,0.13,0.028,0.182,0.141,0.03,0.031,0.008,0.57,0.882,0.136,0.15,0.043,1.256,6.142,0.222,0.248,0.134,1.287,0.542,0.133,0.08899999999999998,0.024,0.106,0.08899999999999998,0.027,0.037,0.014,0.889,2.07,0.306,0.24,0.053,0.857,2.019,0.154,0.133,0.034,1.438,10.012,0.378,0.287,0.187,1.069,8.804999999999998,0.89,0.37,0.132,0.904,7.673,0.627,0.363,0.104,1.705,12.167,0.677,0.432,0.091,1.063,5.184,0.18,0.286,0.071,0.927,22.746,0.915,0.743,0.177,2.215,23.751,2.06,0.855,0.129,2.466,47.466,2.706,0.8199999999999998,0.152,1.576,8.231,1.577,11.354,0.8159999999999998,1.881,25.791,1.047,0.678,0.216,2.538,28.079,1.382,0.537,0.244,1.967,49.136,3.28,1.395,0.222,1.746,26.312,2.249,1.173,0.17,1.238,5.083,0.931,5.324,1.214,1.463,15.726,2.35,0.912,0.133,1.562,11.352,1.701,0.521,0.141,1.203,7.639,0.475,0.355,0.128,1.173,5.191,0.581,0.26,0.152,0.613,2.336,1.15,0.906,0.197,0.595,1.309,0.453,0.125,0.017,1.159,0.966,1.033,2.135,0.301,0.397,0.552,0.106,0.025,0.02,0.336,1.352,0.168,0.135,0.062,0.622,1.205,0.237,0.096,0.07499999999999998
184,3,0.293,0.364,0.083,0.12,0.024,0.126,0.072,0.018,0.014,0.005,0.486,0.501,0.123,0.108,0.045,1.328,4.214,0.123,0.186,0.08899999999999998,0.715,0.221,0.08899999999999998,0.08,0.019,0.12,0.078,0.034,0.024,0.01,1.042,2.269,0.27,0.306,0.058,0.481,1.678,0.114,0.106,0.036,0.659,7.958999999999999,0.48,0.196,0.172,1.065,9.071,0.502,0.382,0.116,0.959,9.908,0.651,0.361,0.134,1.526,16.541,0.503,0.477,0.119,1.656,7.137,0.166,0.33,0.09300000000000001,1.47,33.451,1.156,1.027,0.244,1.717,33.115,1.533,0.983,0.17,2.525,62.403,2.238,1.096,0.189,1.488,9.798,1.24,10.824,0.928,1.966,33.715,1.19,0.893,0.259,2.76,32.688,1.656,0.8339999999999999,0.291,2.81,49.381,3.251,1.925,0.193,3.093,27.66,2.002,1.51,0.178,1.651,5.742,0.908,5.294,1.423,1.577,15.795,1.63,0.987,0.117,1.742,11.861,1.691,0.639,0.139,0.633,7.205,0.445,0.273,0.099,1.664,4.615,0.522,0.211,0.126,0.634,2.011,0.765,0.8479999999999999,0.191,0.607,1.463,0.372,0.178,0.025,1.211,1.128,1.079,2.312,0.275,0.507,0.39,0.095,0.025,0.014,0.346,0.959,0.147,0.08999999999999998,0.052,0.513,0.764,0.288,0.08599999999999998,0.095
185,3,0.348,0.492,0.11,0.134,0.026,0.157,0.057,0.027,0.012,0.006,0.776,0.405,0.127,0.08699999999999998,0.04,1.546,3.805,0.109,0.138,0.07499999999999998,0.346,0.163,0.07,0.067,0.018,0.154,0.07299999999999998,0.04,0.015,0.007,0.906,2.424,0.309,0.272,0.053,0.344,1.882,0.139,0.092,0.048,0.777,7.506,0.573,0.172,0.195,1.226,9.809,0.38,0.319,0.112,1.152,10.397,0.684,0.34,0.161,1.467,19.343,0.7,0.436,0.145,1.674,9.053,0.344,0.412,0.126,1.911,41.585,1.821,1.216,0.316,1.844,38.977,1.52,1.036,0.244,2.435,74.31799999999998,1.868,1.206,0.231,1.812,13.572,1.375,9.919,0.976,1.885,42.498,1.339,0.959,0.278,2.569,38.352,1.838,0.941,0.314,3.552,55.897,2.963,1.965,0.192,4.135,38.531,1.667,1.398,0.192,1.997,6.71,1.003,5.24,1.513,1.697,20.317,1.081,0.941,0.131,2.103,15.801,1.642,0.916,0.157,0.985,8.515,0.488,0.33,0.081,2.228,3.874,0.508,0.209,0.096,1.102,1.684,0.394,0.9890000000000002,0.175,0.648,2.958,0.429,0.306,0.059,1.544,1.255,1.051,2.583,0.258,0.512,0.213,0.078,0.028,0.013,0.675,0.931,0.18,0.08599999999999998,0.048,0.621,0.556,0.287,0.08799999999999998,0.103
186,3,0.496,0.911,0.128,0.19,0.037,0.265,0.149,0.049,0.023,0.013,1.461,0.484,0.15,0.08999999999999998,0.037,1.241,3.09,0.19,0.107,0.07499999999999998,0.338,0.257,0.091,0.071,0.026,0.231,0.08,0.048,0.014,0.008999999999999998,0.735,2.316,0.315,0.195,0.047,0.55,2.083,0.217,0.092,0.056,1.662,7.655999999999999,0.509,0.208,0.219,1.237,9.803,0.382,0.255,0.134,1.323,9.839,0.745,0.326,0.189,1.632,19.154,0.899,0.421,0.155,1.188,9.941,0.513,0.451,0.158,2.027,44.127,2.305,1.209,0.36,2.776,39.974,1.969,1.048,0.306,2.389,84.548,2.232,1.203,0.258,2.411,16.858,1.882,9.296,0.954,1.685,51.63,1.517,0.882,0.283,2.298,44.95,1.718,0.8139999999999998,0.316,4.334,67.787,2.768,1.706,0.231,4.194,51.916,1.515,1.133,0.195,1.818,7.808,1.233,5.088,1.481,1.825,26.277,0.954,0.881,0.178,3.067,21.845,1.59,1.147,0.189,2.193,11.682,0.639,0.431,0.08799999999999998,3.006,4.271,0.587,0.208,0.08699999999999998,1.923,1.865,0.241,1.253,0.165,0.793,4.36,0.625,0.414,0.1,1.741,1.254,0.863,2.92,0.271,0.482,0.177,0.06,0.043,0.017,1.493,1.488,0.233,0.123,0.06,1.171,0.775,0.261,0.097,0.098
187,3,0.643,1.377,0.144,0.269,0.052,0.356,0.31,0.07499999999999998,0.049,0.022,2.198,0.8369999999999999,0.197,0.13,0.053,1.148,2.57,0.339,0.121,0.081,0.506,0.362,0.106,0.084,0.035,0.305,0.092,0.048,0.017,0.011,0.741,2.221,0.267,0.154,0.047,1.147,2.092,0.298,0.107,0.055,2.725,7.894,0.417,0.289,0.197,1.462,9.364,0.453,0.264,0.164,1.55,9.982,0.966,0.337,0.221,2.266,17.224,1.004,0.494,0.156,0.861,9.066,0.497,0.4,0.164,2.371,40.1,2.344,1.088,0.346,4.105,39.426,2.507,1.086,0.324,2.996,88.348,3.1,1.299,0.282,2.935,16.247,2.215,9.082,1.023,2.196,55.836,1.618,0.923,0.296,2.935,48.186,1.386,0.758,0.318,5.247,75.619,2.71,1.46,0.286,4.041,54.99,1.564,1.011,0.198,1.428,8.208999999999998,1.118,5.247,1.449,1.956,27.868,1.124,0.794,0.21,4.137,25.545,1.635,1.138,0.217,3.233,14.475,1.052,0.457,0.125,3.595,5.267,0.672,0.214,0.099,2.499,2.121,0.314,1.368,0.164,0.969,4.522,0.798,0.385,0.108,1.448,1.088,0.618,3.044,0.288,0.498,0.313,0.07299999999999998,0.07399999999999998,0.026,2.222,2.115,0.267,0.196,0.083,1.76,1.268,0.322,0.143,0.096
188,3,0.658,1.546,0.163,0.331,0.069,0.345,0.443,0.102,0.078,0.026,2.374,1.457,0.268,0.189,0.096,1.492,3.358,0.49,0.168,0.111,0.615,0.495,0.121,0.095,0.039,0.296,0.095,0.039,0.017,0.01,0.729,2.154,0.177,0.141,0.046,1.548,2.138,0.33,0.114,0.054,3.034,7.87,0.429,0.352,0.148,1.771,9.199,0.563,0.284,0.189,1.74,10.474,1.191,0.337,0.246,2.583,14.366,1.053,0.541,0.158,0.903,6.957,0.387,0.275,0.135,2.833,31.547,2.397,0.884,0.296,4.446,37.807,3.097,1.089,0.33,3.709,79.617,4.215,1.398,0.321,3.258,12.305,2.439,8.81,1.196,3.578,49.992,1.686,1.013,0.32,4.499,43.929,1.353,0.806,0.31,5.54,73.81399999999998,2.6,1.306,0.325,4.372,44.937,1.764,0.916,0.199,1.117,7.027,0.871,5.65,1.485,2.326,24.411,1.278,0.693,0.193,4.479,25.354,1.826,1.023,0.243,3.432,14.944,1.474,0.397,0.171,3.458,5.581,0.668,0.256,0.122,2.435,2.284,0.445,1.29,0.168,1.337,4.138,0.8249999999999998,0.266,0.08599999999999998,0.969,0.853,0.524,2.816,0.276,0.546,0.469,0.124,0.101,0.037,2.237,2.27,0.307,0.274,0.107,1.96,1.691,0.466,0.219,0.103
189,3,0.614,1.257,0.175,0.331,0.076,0.276,0.477,0.126,0.08699999999999998,0.024,1.929,1.802,0.316,0.237,0.142,1.612,4.116,0.516,0.186,0.14,0.619,0.657,0.151,0.102,0.037,0.209,0.083,0.025,0.014,0.008,0.57,1.84,0.102,0.111,0.039,1.25,2.067,0.297,0.09300000000000001,0.055,2.365,6.842,0.396,0.354,0.113,1.638,8.647,0.61,0.241,0.193,1.708,9.771,1.217,0.291,0.241,2.022,10.681,1.006,0.456,0.15,1.109,5.027,0.382,0.156,0.095,2.941,22.239,2.607,0.607,0.24,3.432,32.602,3.618,0.951,0.325,4.122,61.914,5.082,1.199,0.344,3.881,8.355,2.526,8.410999999999998,1.307,4.96,37.601,1.882,0.871,0.311,6.267,34.096,1.604,0.711,0.265,6.107,67.863,2.492,1.146,0.324,5.274,31.482,1.966,0.701,0.187,0.9940000000000001,4.95,1.023,5.771,1.575,3.394,21.025,1.36,0.614,0.159,4.53,24.067,2.132,0.9890000000000002,0.274,3.419,13.769,1.62,0.336,0.19,2.957,4.968,0.579,0.292,0.137,2.027,2.623,0.484,1.211,0.17,2.2,4.102,0.811,0.181,0.065,0.742,0.716,0.569,2.562,0.251,0.53,0.474,0.161,0.097,0.044,1.707,1.964,0.333,0.292,0.119,1.688,1.65,0.515,0.255,0.105
190,3,0.598,0.798,0.152,0.25,0.063,0.225,0.462,0.157,0.07,0.022,1.395,1.498,0.288,0.235,0.154,1.177,3.203,0.413,0.147,0.133,0.546,0.673,0.158,0.092,0.03,0.119,0.068,0.017,0.01,0.005,0.366,1.408,0.183,0.097,0.031,0.636,1.581,0.236,0.062,0.049,1.436,4.821,0.273,0.309,0.102,1.05,6.769,0.589,0.174,0.155,1.41,8.711999999999998,1.154,0.255,0.206,1.091,8.307,1.011,0.366,0.136,1.223,5.033,0.482,0.138,0.07399999999999998,2.926,18.495,2.597,0.449,0.191,2.296,28.644,3.638,0.793,0.28,4.467,53.246,5.208,0.8409999999999999,0.32,4.348,6.694,2.454,8.436,1.25,5.687,33.457,2.22,0.594,0.255,7.248,29.331,1.817,0.489,0.206,7.053,66.63,2.639,0.984,0.296,6.406,28.283,2.009,0.529,0.166,0.946,4.319,1.344,5.6,1.601,4.395,21.53,1.507,0.616,0.146,4.457,23.567,2.317,0.877,0.286,3.265,11.873,1.473,0.302,0.165,2.394,3.914,0.466,0.276,0.127,1.864,2.84,0.423,1.138,0.154,2.818,4.109,0.8169999999999998,0.153,0.06,0.666,0.621,0.718,2.47,0.251,0.407,0.355,0.141,0.063,0.041,1.155,1.497,0.289,0.225,0.104,1.198,1.212,0.394,0.215,0.095
191,3,0.542,0.63,0.117,0.145,0.041,0.178,0.45,0.185,0.048,0.025,1.064,0.912,0.237,0.189,0.127,0.705,1.466,0.282,0.115,0.101,0.475,0.49,0.121,0.062,0.02,0.091,0.067,0.023,0.008999999999999998,0.005,0.24,1.494,0.529,0.164,0.03,0.352,0.966,0.172,0.053,0.037,0.939,2.862,0.264,0.262,0.098,0.557,4.413,0.556,0.169,0.111,1.084,8.580999999999998,1.18,0.292,0.175,0.617,9.252,1.385,0.494,0.156,1.113,7.524,0.663,0.213,0.076,3.132,23.577,2.402,0.536,0.191,2.049,31.598,3.39,0.8429999999999999,0.226,4.946,62.315,5.408,0.731,0.296,3.987,7.708999999999999,2.071,8.851,1.112,5.677,43.095,2.706,0.505,0.206,6.887,34.581,2.309,0.359,0.2,7.524,66.939,3.043,0.868,0.292,7.466,35.667,1.882,0.554,0.159,0.962,5.478,1.275,5.707,1.487,4.438,22.967,1.568,0.703,0.144,3.837,21.448,2.014,0.574,0.249,2.461,9.187,1.089,0.265,0.113,1.635,2.865,0.344,0.215,0.097,1.843,2.427,0.317,0.984,0.128,2.474,3.634,0.681,0.159,0.057,0.474,0.412,0.806,2.326,0.265,0.278,0.306,0.099,0.033,0.029,0.737,1.113,0.229,0.138,0.065,0.8349999999999999,0.897,0.248,0.152,0.084
192,3,0.426,0.743,0.117,0.082,0.028,0.186,0.463,0.184,0.044,0.026,0.931,0.667,0.271,0.15,0.092,0.875,0.977,0.242,0.158,0.08699999999999998,0.542,0.414,0.08699999999999998,0.042,0.016,0.125,0.08799999999999998,0.042,0.012,0.008,0.32,2.358,0.881,0.285,0.053,0.656,1.033,0.16,0.092,0.035,1.462,2.71,0.368,0.251,0.101,0.86,4.264,0.464,0.238,0.122,1.48,8.832,1.116,0.354,0.171,0.92,11.656,1.733,0.771,0.202,0.917,9.54,0.783,0.263,0.079,3.198,28.77,2.036,0.738,0.247,2.6,34.536,2.951,1.023,0.207,5.124,68.552,5.358,0.896,0.302,2.841,9.132,1.451,8.896,1.062,5.193,49.385,2.709,0.61,0.196,5.646,38.901,2.816,0.395,0.243,7.401,60.339,2.67,0.862,0.313,7.562,38.875,1.624,0.647,0.159,1.186,6.163,0.901,6.387,1.359,3.76,21.254,1.288,0.733,0.13,3.817,18.199,1.179,0.353,0.189,1.92,7.649,0.784,0.263,0.07299999999999998,1.379,2.751,0.292,0.179,0.07299999999999998,1.567,1.623,0.212,0.789,0.107,1.734,3.178,0.43,0.221,0.05,0.289,0.263,0.665,1.907,0.25,0.237,0.387,0.104,0.032,0.021,0.585,0.969,0.241,0.114,0.034,0.8459999999999999,1.024,0.209,0.132,0.081
193,3,0.349,0.715,0.147,0.07399999999999998,0.025,0.288,0.508,0.148,0.057,0.024,0.929,0.8229999999999998,0.369,0.141,0.07299999999999998,1.289,2.719,0.31,0.24,0.109,0.75,0.671,0.101,0.05,0.021,0.17,0.129,0.057,0.019,0.01,0.572,3.58,0.906,0.374,0.095,1.16,2.011,0.221,0.176,0.046,2.707,5.065,0.406,0.292,0.124,1.654,8.832,0.324,0.314,0.187,2.494,9.087,0.893,0.349,0.168,1.453,13.659,1.599,0.899,0.213,0.923,8.05,0.784,0.225,0.07,2.965,25.961,1.695,0.8299999999999998,0.289,3.25,32.976,2.335,1.084,0.21,5.057,58.899,4.553,1.041,0.316,1.817,8.102999999999998,1.175,8.604,1.114,4.649,40.809,2.337,0.672,0.201,4.755,34.128,3.028,0.572,0.282,6.958,52.984,1.971,0.923,0.307,6.509,30.386,1.643,0.691,0.14,1.624,5.181,0.686,7.067,1.356,3.19,19.443,1.111,0.628,0.11,4.365,19.215,0.702,0.402,0.152,2.413,9.094,0.95,0.339,0.067,2.097,3.895,0.381,0.212,0.069,1.028,1.119,0.231,0.623,0.08999999999999998,1.515,3.898,0.281,0.349,0.049,0.378,0.352,0.44,1.36,0.197,0.235,0.491,0.177,0.053,0.021,0.875,0.969,0.344,0.147,0.028,0.93,1.168,0.225,0.136,0.079
194,3,0.334,0.458,0.162,0.102,0.025,0.376,0.551,0.11,0.071,0.023,1.024,1.132,0.397,0.14,0.062,1.367,6.667,0.4,0.293,0.141,0.877,1.103,0.171,0.072,0.03,0.194,0.161,0.053,0.027,0.011,0.737,4.434,0.647,0.38,0.123,1.377,3.498,0.283,0.241,0.057,3.555,9.967,0.394,0.382,0.166,2.208,17.685,0.298,0.366,0.244,3.34,10.886,0.624,0.284,0.148,1.646,16.398,1.184,0.791,0.178,1.226,4.921,0.658,0.172,0.061,2.913,21.186,1.58,0.8289999999999998,0.273,3.502,34.627,1.745,0.9970000000000001,0.212,5.6,49.656,3.164,1.083,0.31,1.372,5.746,1.192,8.761,1.108,4.457,29.782,1.745,0.668,0.199,4.912,28.865,2.443,0.808,0.315,6.216,57.093,1.473,0.965,0.264,5.5,23.003,1.499,0.711,0.119,2.057,4.599,0.8379999999999999,7.039,1.407,3.404,22.971,0.96,0.525,0.104,4.246,25.557,0.859,0.56,0.15,3.453,12.139,1.254,0.432,0.08799999999999998,3.277,6.004,0.493,0.267,0.084,0.669,1.302,0.315,0.593,0.091,1.926,6.089,0.24,0.464,0.054,0.687,0.512,0.323,0.98,0.16,0.302,0.553,0.238,0.079,0.025,1.575,1.303,0.412,0.195,0.043,0.869,1.112,0.205,0.126,0.065
195,3,0.392,0.3,0.134,0.149,0.027,0.404,0.565,0.108,0.084,0.031,1.031,1.508,0.314,0.142,0.05,1.319,10.62,0.4,0.303,0.144,0.7269999999999999,1.396,0.252,0.091,0.041,0.227,0.158,0.038,0.032,0.01,0.733,4.478,0.432,0.309,0.118,1.269,4.525,0.273,0.223,0.059,3.595,15.604,0.482,0.495,0.208,2.743,25.084,0.416,0.396,0.251,3.753,13.331,0.393,0.214,0.12,2.153,19.859,0.94,0.66,0.161,1.601,3.912,0.529,0.204,0.062,3.249,21.977,1.584,0.887,0.229,4.113,41.47,1.354,0.935,0.213,6.923,51.683,2.01,1.216,0.294,1.218,4.975,1.219,9.618,0.973,4.191,26.756,1.164,0.7249999999999999,0.201,5.058,28.848,1.453,0.938,0.339,5.588,63.244,1.201,1.055,0.239,4.804,24.328,1.058,0.7249999999999999,0.12,2.029,5.857,0.972,6.258,1.359,4.145,26.327,0.695,0.545,0.107,3.709,29.289,1.294,0.68,0.157,4.271,13.057,1.248,0.483,0.114,4.114,8.377,0.663,0.315,0.118,0.647,1.76,0.337,0.745,0.122,2.255,7.218,0.23,0.445,0.057,0.911,0.543,0.326,0.983,0.178,0.504,0.634,0.221,0.104,0.027,2.325,2.26,0.409,0.242,0.071,0.857,1.175,0.166,0.116,0.054
196,3,0.57,0.387,0.12,0.177,0.032,0.444,0.553,0.131,0.1,0.043,1.009,1.714,0.216,0.171,0.043,1.532,10.89,0.348,0.295,0.114,0.495,1.366,0.289,0.124,0.057,0.295,0.127,0.032,0.034,0.012,0.649,3.801,0.488,0.196,0.08699999999999998,1.305,4.22,0.246,0.153,0.053,3.285,17.192,0.788,0.587,0.211,3.888,24.368,0.7,0.382,0.204,3.562,12.269,0.307,0.169,0.092,3.76,20.906,1.24,0.663,0.177,2.021,5.09,0.54,0.275,0.062,4.027,24.938,1.846,0.93,0.182,4.705,42.468,1.798,0.988,0.196,7.174,52.264,2.259,1.499,0.309,1.187,5.837,1.201,10.344,0.865,3.464,25.809,1.307,0.951,0.232,4.157,28.273,1.218,0.965,0.312,4.814,57.305,2.191,1.213,0.256,3.961,27.092,0.878,0.712,0.135,1.527,6.97,0.8349999999999999,5.583,1.304,4.218,22.639,0.583,0.586,0.105,3.426,25.046,1.86,0.755,0.148,4.296,10.549,1.072,0.615,0.132,3.969,9.272,0.946,0.436,0.156,0.78,1.873,0.316,0.928,0.153,1.992,5.694,0.255,0.316,0.053,0.906,0.491,0.399,1.298,0.216,0.757,0.697,0.141,0.13,0.029,2.63,3.087,0.403,0.282,0.091,0.9990000000000001,1.342,0.153,0.137,0.071
197,3,0.695,0.51,0.184,0.169,0.038,0.545,0.511,0.157,0.102,0.048,1.346,1.572,0.285,0.239,0.049,2.144,7.474999999999999,0.458,0.304,0.084,0.414,1.06,0.283,0.161,0.069,0.334,0.094,0.037,0.037,0.016,0.769,3.158,0.632,0.112,0.054,1.695,3.003,0.325,0.125,0.051,3.432,13.351,1.153,0.632,0.177,5.411,17.368,1.126,0.342,0.148,2.983,8.115,0.449,0.169,0.07399999999999998,5.98,19.475,1.626,0.703,0.179,2.393,6.584,0.567,0.307,0.069,5.473,26.343,1.931,0.853,0.14,5.258,36.298,3.012,1.115,0.177,7.078,48.175,3.275,1.75,0.347,1.011,7.545,1.2,10.317,0.902,3.654,26.24,1.829,1.224,0.305,3.194,27.674,1.493,0.9940000000000001,0.253,4.517,52.071,3.958,1.399,0.281,3.47,32.822,1.023,0.749,0.15,1.092,6.985,0.799,5.402,1.433,4.044,20.982,0.7239999999999999,0.686,0.116,4.179,19.306,2.435,0.81,0.143,4.444,8.205,1.155,0.869,0.15,3.325,7.804999999999999,1.113,0.636,0.179,1.056,1.8,0.291,0.98,0.157,1.791,5.315,0.449,0.275,0.066,0.792,0.653,0.615,1.605,0.228,0.952,0.625,0.07499999999999998,0.141,0.03,2.764,2.796,0.406,0.304,0.097,1.356,1.318,0.18,0.189,0.103
198,3,0.63,0.544,0.309,0.168,0.049,0.7249999999999999,0.442,0.172,0.08899999999999998,0.044,1.832,1.253,0.541,0.315,0.059,2.724,3.877,0.666,0.354,0.081,0.43,0.703,0.247,0.16,0.062,0.28,0.07399999999999998,0.035,0.038,0.018,1.228,2.771,0.618,0.09300000000000001,0.03,1.985,1.841,0.41,0.144,0.057,3.832,8.0,1.295,0.686,0.166,5.738,10.557,1.462,0.339,0.117,2.445,4.467,0.637,0.201,0.065,6.666,16.703,1.579,0.693,0.148,2.341,7.237,0.556,0.326,0.085,6.921,26.286,1.876,0.795,0.114,5.733,29.993,3.872,1.228,0.18,8.178,46.428,4.061,1.902,0.347,0.72,9.226,1.376,9.901,1.008,5.348,30.576,2.155,1.314,0.357,3.694,30.561,1.649,0.987,0.226,5.295,60.089,4.748,1.573,0.284,3.924,44.877,1.474,0.951,0.169,0.8469999999999999,7.593,1.155,5.269,1.626,4.737,29.124,1.123,0.956,0.142,5.47,17.188,2.478,0.857,0.142,5.427,8.304999999999998,1.237,0.9910000000000002,0.16,3.02,5.307,0.914,0.732,0.172,1.459,1.986,0.244,0.93,0.149,2.089,8.654999999999998,0.8279999999999998,0.403,0.103,0.739,1.126,0.936,1.777,0.219,1.067,0.456,0.095,0.125,0.026,2.995,1.77,0.402,0.298,0.099,1.752,1.091,0.308,0.237,0.113
199,3,0.525,0.529,0.366,0.177,0.056,0.866,0.404,0.165,0.078,0.035,1.836,1.062,0.733,0.336,0.055,3.331,2.307,0.659,0.408,0.094,0.451,0.595,0.187,0.111,0.041,0.169,0.064,0.024,0.032,0.016,1.727,2.172,0.46,0.101,0.019,2.124,1.249,0.359,0.153,0.061,4.217,5.001,1.228,0.735,0.196,4.964,6.806,1.506,0.37,0.101,2.516,2.829,0.734,0.239,0.053,5.121,11.924,1.134,0.6,0.102,1.904,6.173,0.482,0.33,0.08599999999999998,6.826,22.826,1.828,0.8269999999999998,0.106,5.444,24.599,3.823,1.176,0.179,8.968999999999998,44.176,4.328,1.909,0.277,0.436,9.329,1.587,9.496,1.099,6.505,32.09,2.343,1.117,0.322,4.896,31.57,1.571,0.918,0.215,6.603,66.737,4.364,1.681,0.26,4.107,51.316,2.2,1.245,0.202,0.7219999999999999,8.572,1.646,5.137,1.573,5.39,35.53,1.684,1.243,0.154,6.582,16.32,1.944,0.861,0.133,6.332,9.105,1.12,0.8399999999999999,0.153,3.296,4.276,0.598,0.592,0.136,2.08,2.177,0.222,0.8439999999999999,0.141,2.283,11.162,1.179,0.511,0.12,0.715,1.462,1.155,1.93,0.205,1.084,0.361,0.18,0.101,0.019,3.239,1.295,0.44,0.273,0.101,2.024,0.897,0.545,0.234,0.096
